"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"ILMN_2756665"	"2.62e-01"	"1.55e-01"	"-1.5612413"	"-6.471035"	"-0.24776293"	"Cbr2"	"carbonyl reductase 2"
"ILMN_1221145"	"2.62e-01"	"1.55e-01"	"-1.560862"	"-6.471548"	"-0.2768047"	"Tsta3"	"tissue specific transplantation antigen P35B"
"ILMN_2600135"	"2.62e-01"	"1.55e-01"	"1.5608146"	"-6.471612"	"0.27875694"	"Lypd4"	"Ly6/Plaur domain containing 4"
"ILMN_2767187"	"2.62e-01"	"1.55e-01"	"1.5603521"	"-6.472238"	"0.24016786"	"Mrpl53"	"mitochondrial ribosomal protein L53"
"ILMN_2848273"	"2.62e-01"	"1.55e-01"	"-1.5603266"	"-6.472272"	"-0.49148203"	"Mansc1"	"MANSC domain containing 1"
"ILMN_1220761"	"2.62e-01"	"1.55e-01"	"-1.5599179"	"-6.472825"	"-0.33381663"	"Mpv17l"	"Mpv17 transgene, kidney disease mutant-like"
"ILMN_1216337"	"2.62e-01"	"1.55e-01"	"1.55987"	"-6.47289"	"0.28095251"	"Sla"	"src-like adaptor"
"ILMN_2681013"	"2.62e-01"	"1.55e-01"	"-1.5594936"	"-6.473399"	"-0.34679466"	"St6galnac6"	"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6"
"ILMN_2761247"	"2.62e-01"	"1.55e-01"	"-1.5592072"	"-6.473787"	"-0.29010992"	"Cad"	"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"
"ILMN_1230693"	"2.62e-01"	"1.55e-01"	"-1.55841"	"-6.474865"	"-0.28047155"	"Mtrf1"	"mitochondrial translational release factor 1"
"ILMN_2610066"	"2.63e-01"	"1.55e-01"	"-1.5580085"	"-6.475408"	"-0.2480647"	"Pdcd11"	"programmed cell death 11"
"ILMN_2910020"	"2.63e-01"	"1.55e-01"	"-1.5579293"	"-6.475515"	"-0.3045712"	"Nol4l"	"nucleolar protein 4-like"
"ILMN_2834525"	"2.63e-01"	"1.56e-01"	"1.5571423"	"-6.476578"	"0.38899884"	"Ctnna3"	"catenin (cadherin associated protein), alpha 3"
"ILMN_1254010"	"2.63e-01"	"1.56e-01"	"1.5571231"	"-6.476604"	"0.26864696"	"Pip5k1a"	"phosphatidylinositol-4-phosphate 5-kinase, type 1 alpha"
"ILMN_2616405"	"2.63e-01"	"1.56e-01"	"-1.557117"	"-6.476613"	"-0.24853828"	"Cox6b1"	"cytochrome c oxidase, subunit VIb polypeptide 1"
"ILMN_2764883"	"2.63e-01"	"1.56e-01"	"-1.5570322"	"-6.476727"	"-0.27446815"	"Mafg"	"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein G (avian)"
"ILMN_2917138"	"2.63e-01"	"1.56e-01"	"1.5568681"	"-6.476949"	"0.3348806"	"Mkl2"	"MKL/myocardin-like 2"
"ILMN_1228696"	"2.63e-01"	"1.56e-01"	"-1.5567137"	"-6.477158"	"-0.24702104"	"Ada"	"adenosine deaminase"
"ILMN_2780760"	"2.63e-01"	"1.56e-01"	"1.5565528"	"-6.477375"	"0.52413133"	"Pknox1"	"Pbx/knotted 1 homeobox"
"ILMN_2717011"	"2.63e-01"	"1.56e-01"	"-1.5560127"	"-6.478105"	"-0.33741346"	"Bik"	"BCL2-interacting killer"
"ILMN_2925275"	"2.63e-01"	"1.56e-01"	"-1.555637"	"-6.478612"	"-0.22771681"	"Vti1a"	"vesicle transport through interaction with t-SNAREs 1A"
"ILMN_1248463"	"2.64e-01"	"1.56e-01"	"1.5544823"	"-6.480172"	"0.29835179"	"Ptch1"	"patched 1"
"ILMN_2479530"	"2.64e-01"	"1.56e-01"	"1.5543362"	"-6.480369"	"0.24737801"	"Zhx1"	"zinc fingers and homeoboxes 1"
"ILMN_2602350"	"2.64e-01"	"1.56e-01"	"1.5543242"	"-6.480385"	"0.31859164"	"Unkl"	"unkempt family like zinc finger"
"ILMN_1249578"	"2.64e-01"	"1.56e-01"	"1.5537561"	"-6.481152"	"0.44143383"	"Sorl1"	"sortilin-related receptor, LDLR class A repeats-containing"
"ILMN_1249116"	"2.64e-01"	"1.56e-01"	"-1.5535461"	"-6.481436"	"-0.23044755"	"Cpsf3l"	"cleavage and polyadenylation specific factor 3-like"
"ILMN_2754083"	"2.64e-01"	"1.57e-01"	"1.553142"	"-6.481981"	"0.27452258"	""	""
"ILMN_3056417"	"2.64e-01"	"1.57e-01"	"1.5523944"	"-6.48299"	"0.34071774"	"Ccdc114"	"coiled-coil domain containing 114"
"ILMN_1215238"	"2.64e-01"	"1.57e-01"	"-1.5523332"	"-6.483072"	"-0.30270158"	"Fsd2"	"fibronectin type III and SPRY domain containing 2"
"ILMN_3004142"	"2.64e-01"	"1.57e-01"	"1.5522388"	"-6.4832"	"0.24353861"	"Stk4"	"serine/threonine kinase 4"
"ILMN_2910447"	"2.64e-01"	"1.57e-01"	"1.552022"	"-6.483492"	"0.49830075"	"Olfr1471"	"olfactory receptor 1471"
"ILMN_2826157"	"2.64e-01"	"1.57e-01"	"-1.5519155"	"-6.483636"	"-0.29380775"	"Taf12"	"TATA-box binding protein associated factor 12"
"ILMN_2506144"	"2.65e-01"	"1.57e-01"	"-1.5511608"	"-6.484654"	"-0.51636507"	"Vapb"	"vesicle-associated membrane protein, associated protein B and C"
"ILMN_1229247"	"2.65e-01"	"1.57e-01"	"-1.5505662"	"-6.485455"	"-0.35179112"	"Defb41"	"defensin beta 41"
"ILMN_1231930"	"2.65e-01"	"1.57e-01"	"1.550525"	"-6.485511"	"0.31796404"	"Tesk1"	"testis specific protein kinase 1"
"ILMN_2948476"	"2.65e-01"	"1.57e-01"	"1.5503701"	"-6.48572"	"0.30632631"	"Gjb1"	"gap junction protein, beta 1"
"ILMN_1224859"	"2.65e-01"	"1.57e-01"	"1.5500833"	"-6.486107"	"0.30601034"	"Gimap6"	"GTPase, IMAP family member 6"
"ILMN_1232470"	"2.65e-01"	"1.57e-01"	"1.5500363"	"-6.48617"	"0.43957475"	"Cd36"	"CD36 antigen"
"ILMN_2897110"	"2.65e-01"	"1.57e-01"	"-1.5498759"	"-6.486386"	"-0.25821881"	"Tmtc4"	"transmembrane and tetratricopeptide repeat containing 4"
"ILMN_2980157"	"2.65e-01"	"1.57e-01"	"-1.5496433"	"-6.4867"	"-0.26311384"	"Galnt15"	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 15"
"ILMN_2934028"	"2.65e-01"	"1.57e-01"	"1.5491813"	"-6.487322"	"0.43161473"	""	""
"ILMN_2617087"	"2.65e-01"	"1.58e-01"	"-1.5490039"	"-6.487561"	"-0.2868944"	"Egln1"	"egl-9 family hypoxia-inducible factor 1"
"ILMN_1219038"	"2.65e-01"	"1.58e-01"	"1.5485253"	"-6.488206"	"0.23703159"	"Mill1"	"MHC I like leukocyte 1"
"ILMN_1237463"	"2.65e-01"	"1.58e-01"	"1.548499"	"-6.488242"	"0.30646377"	"Cog2"	"component of oligomeric golgi complex 2"
"ILMN_3058137"	"2.66e-01"	"1.58e-01"	"1.5481655"	"-6.488691"	"0.28326263"	"Mgat1"	"mannoside acetylglucosaminyltransferase 1"
"ILMN_3065373"	"2.66e-01"	"1.58e-01"	"-1.5478956"	"-6.489055"	"-0.28810606"	"Them6"	"thioesterase superfamily member 6"
"ILMN_2695415"	"2.66e-01"	"1.58e-01"	"-1.5475342"	"-6.489541"	"-0.27414"	"Armc9"	"armadillo repeat containing 9"
"ILMN_2678421"	"2.66e-01"	"1.58e-01"	"1.5473414"	"-6.489801"	"0.23299818"	"Pcolce2"	"procollagen C-endopeptidase enhancer 2"
"ILMN_1231468"	"2.66e-01"	"1.58e-01"	"-1.5472894"	"-6.489871"	"-0.23948905"	"1700030J22Rik"	"RIKEN cDNA 1700030J22 gene"
"ILMN_2479300"	"2.66e-01"	"1.58e-01"	"-1.5470912"	"-6.490138"	"-0.25017973"	"U2af2"	"U2 small nuclear ribonucleoprotein auxiliary factor (U2AF) 2"
"ILMN_2748875"	"2.66e-01"	"1.58e-01"	"1.5468191"	"-6.490504"	"0.22557529"	"Fcer1g"	"Fc receptor, IgE, high affinity I, gamma polypeptide"
"ILMN_2940369"	"2.66e-01"	"1.58e-01"	"1.5466554"	"-6.490725"	"0.23613867"	"Tmem211"	"transmembrane protein 211"
"ILMN_2959285"	"2.66e-01"	"1.58e-01"	"1.5462616"	"-6.491255"	"0.25195532"	"Atpaf2"	"ATP synthase mitochondrial F1 complex assembly factor 2"
"ILMN_3128478"	"2.66e-01"	"1.58e-01"	"-1.546131"	"-6.491431"	"-0.38263282"	"Alx3"	"aristaless-like homeobox 3"
"ILMN_2940394"	"2.66e-01"	"1.58e-01"	"-1.5460464"	"-6.491545"	"-0.33284961"	"Gtf3c6"	"general transcription factor IIIC, polypeptide 6, alpha"
"ILMN_2963580"	"2.66e-01"	"1.58e-01"	"1.5459667"	"-6.491652"	"0.25007582"	"Lsm12"	"LSM12 homolog"
"ILMN_2734511"	"2.66e-01"	"1.58e-01"	"-1.5456722"	"-6.492048"	"-0.26382899"	"Ndufb3"	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex 3"
"ILMN_2624363"	"2.66e-01"	"1.58e-01"	"-1.5450567"	"-6.492876"	"-0.43766702"	"Fga"	"fibrinogen alpha chain"
"ILMN_2919263"	"2.67e-01"	"1.59e-01"	"1.5441555"	"-6.494089"	"0.24792433"	"Slc25a1"	"solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1"
"ILMN_2626864"	"2.67e-01"	"1.59e-01"	"1.5439868"	"-6.494316"	"0.34224681"	"Pcif1"	"PDX1 C-terminal inhibiting factor 1"
"ILMN_1221102"	"2.67e-01"	"1.59e-01"	"1.543838"	"-6.494516"	"0.24872001"	"Arl5a"	"ADP-ribosylation factor-like 5A"
"ILMN_2503420"	"2.67e-01"	"1.59e-01"	"1.5433357"	"-6.495192"	"0.30468663"	"Zfp617"	"zinc finger protein 617"
"ILMN_2806907"	"2.67e-01"	"1.59e-01"	"1.5432234"	"-6.495343"	"0.38499865"	"Toporsl"	"topoisomerase I binding, arginine/serine-rich like"
"ILMN_3157372"	"2.67e-01"	"1.59e-01"	"1.5431409"	"-6.495453"	"0.31501968"	"Zgpat"	"zinc finger, CCCH-type with G patch domain"
"ILMN_3162604"	"2.67e-01"	"1.59e-01"	"1.5429434"	"-6.495719"	"0.46973049"	"Spag11b"	"sperm associated antigen 11B"
"ILMN_2750904"	"2.67e-01"	"1.59e-01"	"-1.542868"	"-6.49582"	"-0.25070927"	"Cep97"	"centrosomal protein 97"
"ILMN_2643057"	"2.67e-01"	"1.59e-01"	"-1.5428525"	"-6.495841"	"-0.22933556"	"Trappc6a"	"trafficking protein particle complex 6A"
"ILMN_1246903"	"2.67e-01"	"1.59e-01"	"1.5426513"	"-6.496112"	"0.2487232"	"Ap1g2"	"adaptor protein complex AP-1, gamma 2 subunit"
"ILMN_2863965"	"2.67e-01"	"1.59e-01"	"-1.5426315"	"-6.496138"	"-0.26320713"	"Pfn1"	"profilin 1"
"ILMN_2746924"	"2.67e-01"	"1.59e-01"	"-1.5424453"	"-6.496389"	"-0.25280583"	"Cherp"	"calcium homeostasis endoplasmic reticulum protein"
"ILMN_2793616"	"2.67e-01"	"1.59e-01"	"-1.5422192"	"-6.496693"	"-0.23980445"	"Lin54"	"lin-54 homolog (C. elegans)"
"ILMN_2847887"	"2.67e-01"	"1.59e-01"	"1.5420197"	"-6.496961"	"0.35921725"	"Mst1"	"macrophage stimulating 1 (hepatocyte growth factor-like)"
"ILMN_1227704"	"2.67e-01"	"1.59e-01"	"-1.5419557"	"-6.497047"	"-0.32067538"	"Smek2"	"SMEK homolog 2, suppressor of mek1 (Dictyostelium)"
"ILMN_2933228"	"2.67e-01"	"1.59e-01"	"-1.5417032"	"-6.497386"	"-0.29233038"	"Yipf3"	"Yip1 domain family, member 3"
"ILMN_2639703"	"2.68e-01"	"1.59e-01"	"-1.5409987"	"-6.498333"	"-0.2493348"	"Drap1"	"Dr1 associated protein 1 (negative cofactor 2 alpha)"
"ILMN_2698353"	"2.68e-01"	"1.59e-01"	"1.5406587"	"-6.49879"	"0.25596449"	"Ppp6r3"	"protein phosphatase 6, regulatory subunit 3"
"ILMN_1236988"	"2.68e-01"	"1.60e-01"	"-1.540277"	"-6.499302"	"-0.28680963"	"Rufy1"	"RUN and FYVE domain containing 1"
"ILMN_2664129"	"2.68e-01"	"1.60e-01"	"1.5399217"	"-6.49978"	"0.35261076"	"Hist1h4h"	"histone cluster 1, H4h"
"ILMN_3160944"	"2.68e-01"	"1.60e-01"	"1.5392288"	"-6.50071"	"0.48746522"	"Olfr663"	"olfactory receptor 663"
"ILMN_2656864"	"2.68e-01"	"1.60e-01"	"-1.5390541"	"-6.500945"	"-0.29109026"	"Chat"	"choline acetyltransferase"
"ILMN_1242086"	"2.68e-01"	"1.60e-01"	"1.5388121"	"-6.50127"	"0.33366493"	"Tgfbr2"	"transforming growth factor, beta receptor II"
"ILMN_2816736"	"2.68e-01"	"1.60e-01"	"1.538673"	"-6.501456"	"0.34829168"	""	""
"ILMN_1220398"	"2.69e-01"	"1.60e-01"	"-1.5381264"	"-6.50219"	"-0.31637667"	"Armcx2"	"armadillo repeat containing, X-linked 2"
"ILMN_2937674"	"2.69e-01"	"1.60e-01"	"-1.5376452"	"-6.502836"	"-0.26092512"	"Gse1"	"genetic suppressor element 1, coiled-coil protein"
"ILMN_1219272"	"2.69e-01"	"1.61e-01"	"-1.5361227"	"-6.504878"	"-0.24317939"	"Endov"	"endonuclease V"
"ILMN_2657986"	"2.69e-01"	"1.61e-01"	"-1.5359796"	"-6.50507"	"-0.30851321"	"Fbxw4"	"F-box and WD-40 domain protein 4"
"ILMN_2707153"	"2.69e-01"	"1.61e-01"	"1.5356201"	"-6.505553"	"0.24079032"	"Myo15"	"myosin XV"
"ILMN_1217594"	"2.69e-01"	"1.61e-01"	"1.5355076"	"-6.505703"	"0.30769295"	"Olfr952"	"olfactory receptor 952"
"ILMN_2462332"	"2.69e-01"	"1.61e-01"	"1.5354338"	"-6.505802"	"0.40928339"	"Tulp3"	"tubby-like protein 3"
"ILMN_2946581"	"2.70e-01"	"1.61e-01"	"-1.5343901"	"-6.507202"	"-0.30608243"	"Tmem28"	"transmembrane protein 28"
"ILMN_1236258"	"2.70e-01"	"1.61e-01"	"-1.5343172"	"-6.507299"	"-0.35175328"	"Zfp523"	"zinc finger protein 523"
"ILMN_2656827"	"2.70e-01"	"1.61e-01"	"1.5331963"	"-6.508801"	"0.27448585"	"Bcat1"	"branched chain aminotransferase 1, cytosolic"
"ILMN_2595774"	"2.71e-01"	"1.61e-01"	"1.5324211"	"-6.50984"	"0.23620708"	"Mta2"	"metastasis-associated gene family, member 2"
"ILMN_3162754"	"2.71e-01"	"1.62e-01"	"-1.5321001"	"-6.51027"	"-0.33088672"	"Sars2"	"seryl-aminoacyl-tRNA synthetase 2"
"ILMN_2460122"	"2.71e-01"	"1.62e-01"	"1.5319613"	"-6.510456"	"0.22734503"	"Wdfy3"	"WD repeat and FYVE domain containing 3"
"ILMN_1215117"	"2.71e-01"	"1.62e-01"	"1.5319607"	"-6.510456"	"0.22809498"	"Ube2d2a"	"ubiquitin-conjugating enzyme E2D 2A"
"ILMN_1227401"	"2.71e-01"	"1.62e-01"	"1.5318207"	"-6.510644"	"0.3117679"	"Baz1a"	"bromodomain adjacent to zinc finger domain 1A"
"ILMN_3161438"	"2.71e-01"	"1.62e-01"	"-1.531743"	"-6.510748"	"-0.32804885"	"Olfr1028"	"olfactory receptor 1028"
"ILMN_2987599"	"2.71e-01"	"1.62e-01"	"1.5314726"	"-6.51111"	"0.30811094"	"Mfsd4b1"	"major facilitator superfamily domain containing 4B1"
"ILMN_1218311"	"2.71e-01"	"1.62e-01"	"1.5312529"	"-6.511404"	"0.22428813"	"Fam53a"	"family with sequence similarity 53, member A"
"ILMN_2612990"	"2.71e-01"	"1.62e-01"	"1.5304763"	"-6.512444"	"0.24848328"	"C1ql3"	"C1q-like 3"
"ILMN_2737982"	"2.71e-01"	"1.62e-01"	"-1.5304133"	"-6.512528"	"-0.29114034"	"Dapk1"	"death associated protein kinase 1"
"ILMN_1233670"	"2.72e-01"	"1.62e-01"	"1.5292036"	"-6.514147"	"0.32533527"	"Nr4a3"	"nuclear receptor subfamily 4, group A, member 3"
"ILMN_2698985"	"2.72e-01"	"1.62e-01"	"-1.5287249"	"-6.514787"	"-0.23804215"	"Arrb1"	"arrestin, beta 1"
"ILMN_2776431"	"2.72e-01"	"1.62e-01"	"1.5285364"	"-6.515039"	"0.24892009"	"C1qa"	"complement component 1, q subcomponent, alpha polypeptide"
"ILMN_2680318"	"2.72e-01"	"1.62e-01"	"-1.5284213"	"-6.515193"	"-0.27970888"	"Elk3"	"ELK3, member of ETS oncogene family"
"ILMN_2954575"	"2.72e-01"	"1.63e-01"	"1.5282189"	"-6.515464"	"0.23290403"	"Arhgap30"	"Rho GTPase activating protein 30"
"ILMN_2724235"	"2.72e-01"	"1.63e-01"	"-1.5280375"	"-6.515706"	"-0.2762348"	"Myo18a"	"myosin XVIIIA"
"ILMN_1252963"	"2.72e-01"	"1.63e-01"	"1.5279551"	"-6.515816"	"0.24320211"	"Atp2c1"	"ATPase, Ca++-sequestering"
"ILMN_2802714"	"2.72e-01"	"1.63e-01"	"-1.5278031"	"-6.51602"	"-0.22510939"	"Pgam5"	"phosphoglycerate mutase family member 5"
"ILMN_2673064"	"2.72e-01"	"1.63e-01"	"-1.5277715"	"-6.516062"	"-0.23656461"	"Ing2"	"inhibitor of growth family, member 2"
"ILMN_2762509"	"2.72e-01"	"1.63e-01"	"-1.5277281"	"-6.51612"	"-0.3190265"	"Ncdn"	"neurochondrin"
"ILMN_1224385"	"2.72e-01"	"1.63e-01"	"1.5276983"	"-6.51616"	"0.25507131"	"Slco1a1"	"solute carrier organic anion transporter family, member 1a1"
"ILMN_1244135"	"2.72e-01"	"1.63e-01"	"1.5274131"	"-6.516541"	"0.23073863"	"Arpc5"	"actin related protein 2/3 complex, subunit 5"
"ILMN_2815571"	"2.72e-01"	"1.63e-01"	"-1.5271952"	"-6.516832"	"-0.24210482"	"Zfp182"	"zinc finger protein 182"
"ILMN_2765741"	"2.72e-01"	"1.63e-01"	"-1.5271324"	"-6.516916"	"-0.41773474"	"Mxi1"	"MAX interactor 1, dimerization protein"
"ILMN_1241444"	"2.72e-01"	"1.63e-01"	"1.5264958"	"-6.517767"	"0.43795546"	"Ablim1"	"actin-binding LIM protein 1"
"ILMN_2707510"	"2.72e-01"	"1.63e-01"	"-1.5264661"	"-6.517807"	"-0.23568838"	"Arntl"	"aryl hydrocarbon receptor nuclear translocator-like"
"ILMN_2734646"	"2.72e-01"	"1.63e-01"	"-1.5261293"	"-6.518257"	"-0.23454842"	"Stim1"	"stromal interaction molecule 1"
"ILMN_1218226"	"2.73e-01"	"1.63e-01"	"1.5253699"	"-6.519272"	"0.30788892"	"Slc45a3"	"solute carrier family 45, member 3"
"ILMN_2946482"	"2.73e-01"	"1.63e-01"	"-1.5248412"	"-6.519978"	"-0.27967178"	"Rpl23"	"ribosomal protein L23"
"ILMN_2824012"	"2.73e-01"	"1.64e-01"	"1.523715"	"-6.521482"	"0.34032345"	"Timm17b"	"translocase of inner mitochondrial membrane 17b"
"ILMN_2782082"	"2.74e-01"	"1.64e-01"	"-1.5228588"	"-6.522624"	"-0.27448989"	"Itm2b"	"integral membrane protein 2B"
"ILMN_2601689"	"2.74e-01"	"1.64e-01"	"1.522752"	"-6.522767"	"0.2917208"	"Spire1"	"spire homolog 1 (Drosophila)"
"ILMN_2939990"	"2.74e-01"	"1.64e-01"	"1.5221306"	"-6.523596"	"0.30183563"	"Tarbp2"	"TARBP2, RISC loading complex RNA binding subunit"
"ILMN_2657867"	"2.74e-01"	"1.64e-01"	"1.5220986"	"-6.523639"	"0.24758588"	"Napsa"	"napsin A aspartic peptidase"
"ILMN_2591056"	"2.74e-01"	"1.64e-01"	"1.5219693"	"-6.523811"	"0.2536141"	""	""
"ILMN_2633457"	"2.74e-01"	"1.64e-01"	"-1.5218802"	"-6.52393"	"-0.23972182"	"Ldah"	"lipid droplet associated hydrolase"
"ILMN_2828438"	"2.74e-01"	"1.64e-01"	"-1.5215657"	"-6.52435"	"-0.2645737"	""	""
"ILMN_2662283"	"2.74e-01"	"1.64e-01"	"1.5214825"	"-6.524461"	"0.23402002"	"Ppp1r35"	"protein phosphatase 1, regulatory subunit 35"
"ILMN_3160797"	"2.74e-01"	"1.64e-01"	"1.5212321"	"-6.524795"	"0.24555782"	"Nodal"	"nodal"
"ILMN_2879745"	"2.74e-01"	"1.64e-01"	"-1.5210478"	"-6.52504"	"-0.33458821"	"Lasp1"	"LIM and SH3 protein 1"
"ILMN_1232094"	"2.74e-01"	"1.64e-01"	"-1.5207337"	"-6.525459"	"-0.28373042"	"4931440F15Rik"	"RIKEN cDNA 4931440F15 gene"
"ILMN_2496682"	"2.74e-01"	"1.64e-01"	"-1.5205522"	"-6.525701"	"-0.23915297"	"Zfx"	"zinc finger protein X-linked"
"ILMN_2696994"	"2.74e-01"	"1.64e-01"	"-1.5205352"	"-6.525724"	"-0.24814222"	"Poll"	"polymerase (DNA directed), lambda"
"ILMN_1245994"	"2.74e-01"	"1.64e-01"	"1.5201592"	"-6.526225"	"0.22366884"	""	""
"ILMN_1257332"	"2.74e-01"	"1.65e-01"	"1.5199028"	"-6.526567"	"0.25324325"	"Mkks"	"McKusick-Kaufman syndrome"
"ILMN_1242694"	"2.75e-01"	"1.65e-01"	"1.5192227"	"-6.527474"	"0.35272418"	"Sgta"	"small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha"
"ILMN_2636435"	"2.75e-01"	"1.65e-01"	"1.5174915"	"-6.52978"	"0.30773862"	"Ndufb2"	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2"
"ILMN_1228470"	"2.75e-01"	"1.65e-01"	"-1.5174262"	"-6.529867"	"-0.26002997"	"Pdxp"	"pyridoxal (pyridoxine, vitamin B6) phosphatase"
"ILMN_2734062"	"2.75e-01"	"1.65e-01"	"-1.5171653"	"-6.530215"	"-0.29322067"	"Drd1"	"dopamine receptor D1"
"ILMN_2709504"	"2.75e-01"	"1.65e-01"	"-1.5170236"	"-6.530403"	"-0.45730427"	"Slc25a24"	"solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 24"
"ILMN_1239239"	"2.75e-01"	"1.65e-01"	"-1.5170101"	"-6.530421"	"-0.26974088"	"Ptgs1"	"prostaglandin-endoperoxide synthase 1"
"ILMN_2609056"	"2.76e-01"	"1.65e-01"	"-1.516608"	"-6.530957"	"-0.37564238"	"Ago2"	"argonaute RISC catalytic subunit 2"
"ILMN_2746305"	"2.76e-01"	"1.65e-01"	"1.5165699"	"-6.531008"	"0.37668802"	"Npr1"	"natriuretic peptide receptor 1"
"ILMN_1214075"	"2.76e-01"	"1.65e-01"	"1.5165423"	"-6.531044"	"0.29206858"	"Med18"	"mediator complex subunit 18"
"ILMN_3119478"	"2.76e-01"	"1.65e-01"	"-1.5161483"	"-6.531569"	"-0.27123945"	"Camk2d"	"calcium/calmodulin-dependent protein kinase II, delta"
"ILMN_1218617"	"2.76e-01"	"1.66e-01"	"-1.5160168"	"-6.531744"	"-0.26745667"	"Skiv2l2"	"superkiller viralicidic activity 2-like 2 (S. cerevisiae)"
"ILMN_2895293"	"2.76e-01"	"1.66e-01"	"1.5158279"	"-6.531995"	"0.29139765"	"Cwc22"	"CWC22 spliceosome-associated protein"
"ILMN_2930764"	"2.76e-01"	"1.66e-01"	"1.5157423"	"-6.532109"	"0.35496029"	"B4galt3"	"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3"
"ILMN_1241754"	"2.76e-01"	"1.66e-01"	"-1.5155834"	"-6.532321"	"-0.2992371"	"Wdr62"	"WD repeat domain 62"
"ILMN_2678547"	"2.76e-01"	"1.66e-01"	"-1.5154908"	"-6.532444"	"-0.22702555"	"Lypla1"	"lysophospholipase 1"
"ILMN_2755140"	"2.76e-01"	"1.66e-01"	"1.5151649"	"-6.532878"	"0.22937368"	"Rad51d"	"RAD51 paralog D"
"ILMN_2940541"	"2.76e-01"	"1.66e-01"	"-1.5143752"	"-6.533928"	"-0.35063687"	"Git1"	"G protein-coupled receptor kinase-interactor 1"
"ILMN_2978038"	"2.76e-01"	"1.66e-01"	"-1.5143619"	"-6.533946"	"-0.29004647"	"Myh8"	"myosin, heavy polypeptide 8, skeletal muscle, perinatal"
"ILMN_2976250"	"2.76e-01"	"1.66e-01"	"1.5142023"	"-6.534159"	"0.29300094"	"Mllt1"	"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 1"
"ILMN_1256644"	"2.76e-01"	"1.66e-01"	"1.5140878"	"-6.534311"	"0.3669419"	"Slc6a12"	"solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12"
"ILMN_2638674"	"2.76e-01"	"1.66e-01"	"1.5134781"	"-6.535122"	"0.32119513"	"Actl9"	"actin-like 9"
"ILMN_3101339"	"2.77e-01"	"1.66e-01"	"1.5132427"	"-6.535435"	"0.32999531"	"Kcnmb4"	"potassium large conductance calcium-activated channel, subfamily M, beta member 4"
"ILMN_3140158"	"2.77e-01"	"1.66e-01"	"-1.5127022"	"-6.536153"	"-0.25071182"	"Arl14ep"	"ADP-ribosylation factor-like 14 effector protein"
"ILMN_2747331"	"2.77e-01"	"1.66e-01"	"-1.5125914"	"-6.536301"	"-0.25408114"	"3110002H16Rik"	"RIKEN cDNA 3110002H16 gene"
"ILMN_2858548"	"2.77e-01"	"1.66e-01"	"1.5123246"	"-6.536655"	"0.2239574"	"Spint5"	"serine protease inhibitor, Kunitz type 5"
"ILMN_2780454"	"2.77e-01"	"1.67e-01"	"1.5114783"	"-6.53778"	"0.30837192"	"S100pbp"	"S100P binding protein"
"ILMN_2591411"	"2.77e-01"	"1.67e-01"	"1.5113309"	"-6.537976"	"0.21921827"	"Bloc1s4"	"biogenesis of lysosomal organelles complex-1, subunit 4, cappuccino"
"ILMN_1222022"	"2.77e-01"	"1.67e-01"	"-1.5112793"	"-6.538045"	"-0.28552219"	"Kifap3"	"kinesin-associated protein 3"
"ILMN_2495475"	"2.77e-01"	"1.67e-01"	"1.5110928"	"-6.538292"	"0.33883207"	"Vav3"	"vav 3 oncogene"
"ILMN_2711978"	"2.77e-01"	"1.67e-01"	"1.5109597"	"-6.538469"	"0.24585364"	"Tead4"	"TEA domain family member 4"
"ILMN_2639035"	"2.77e-01"	"1.67e-01"	"1.5108828"	"-6.538571"	"0.39499889"	"2410004B18Rik"	"RIKEN cDNA 2410004B18 gene"
"ILMN_2605183"	"2.77e-01"	"1.67e-01"	"1.5108078"	"-6.538671"	"0.28827857"	""	""
"ILMN_1216426"	"2.77e-01"	"1.67e-01"	"1.5106995"	"-6.538815"	"0.25469065"	"Impad1"	"inositol monophosphatase domain containing 1"
"ILMN_2599794"	"2.77e-01"	"1.67e-01"	"1.5104613"	"-6.539131"	"0.24747929"	"Apoc1"	"apolipoprotein C-I"
"ILMN_2712986"	"2.77e-01"	"1.67e-01"	"1.510342"	"-6.53929"	"0.45748669"	"Chil3"	"chitinase-like 3"
"ILMN_1224802"	"2.77e-01"	"1.67e-01"	"-1.5102352"	"-6.539432"	"-0.23032094"	"Palm"	"paralemmin"
"ILMN_1222673"	"2.78e-01"	"1.67e-01"	"-1.509829"	"-6.539971"	"-0.28393731"	"Olfr1084"	"olfactory receptor 1084"
